9845,9720
0,6303,8927
0,1533,30
1533,70,137
70,310,3320
6303,4052,169
0,4719,7937
4052,4639,3962
4639,7292,105
7292,850,424
7292,7451,3371
7292,4579,188
310,6838,6443
7292,2066,5339
850,1846,79
70,5591,5784
850,4154,865
2066,251,8950
1533,939,5580
4639,7107,1165
6303,2047,5708
6303,4110,1624
939,6150,6178
4719,8442,3676
1846,798,3975
4052,2002,9720
8442,9517,4440
70,113,1119
9517,7880,4206
7880,863,1984
4719,1722,8258
4719,8140,1285
850,7152,563
2066,2143,2482
7880,6626,4062
9517,7276,8261
4154,244,1988
7292,2737,1147
7451,6663,5857
244,6407,545
7880,1335,4176
2143,5136,4094
2066,8565,1109
4052,5177,5004
1533,3873,2975
4719,6598,2258
9517,8048,134
4639,8598,3616
2066,9465,969
939,3858,9549
6663,3649,4944
1846,5691,941
1722,4690,8620
6407,6250,426
251,5045,6158
7451,6149,9496
4639,9060,9261
798,2081,9634
5591,5779,8528
9517,5467,4408
310,5857,2933
4719,9021,2378
4639,1159,9893
4154,5395,1744
8048,2651,9103
6838,5391,8946
8442,1493,838
9021,4180,8842
5779,8162,6340
2066,629,5397
9465,9701,744
1335,1059,3794
7276,2257,4058
310,5198,7153
7152,8706,9218
251,4755,1586
5691,5292,5072
8140,7370,2390
2081,150,3488
8140,6298,2351
7152,8925,3713
4755,4771,6624
7292,5507,2988
629,9981,619
5395,2261,9737
2737,3350,6075
8565,6829,8446
9517,8974,2978
2257,222,1001
244,4248,8532
2066,4804,1476
2651,5070,3340
8565,6777,6359
8925,3377,9115
251,3959,8793
2081,7067,4571
3649,4307,3998
850,9194,3720
9465,436,6766
1533,606,1358
5857,356,3198
7276,6372,5093
629,772,5200
5467,4047,4041
70,1825,1438
356,7050,2848
6838,4979,5535
2002,8127,9761
150,4448,9303
4110,7976,2738
5177,1317,3085
70,9044,1637
2261,7047,8475
6663,1001,3732
6598,9711,3841
9465,8672,8198
606,3983,5993
5045,6082,5736
7976,9011,8413
8048,6492,2425
6303,3730,886
4448,3482,4480
8140,9927,8926
939,1539,2007
2047,3217,9005
7050,8837,5204
6777,8154,58
7976,2687,5122
7050,7534,2020
5177,4017,8513
2651,7763,2279
629,1553,2755
4804,2237,2394
9011,6306,9740
9194,2658,3710
6777,6884,8843
7534,9734,3772
5507,873,726
4579,2265,8250
4248,8631,2473
251,2902,4836
0,5672,5802
863,2877,139
863,4250,7246
2658,7637,8795
5198,7751,3105
4719,1058,9255
4979,7524,4059
2002,2314,2834
7976,3579,505
5198,551,3206
2143,8756,4547
4180,1439,9400
4579,3695,405
150,568,3007
2066,3188,4988
70,8197,8780
5136,6455,3070
6663,1153,8330
5591,3911,3520
4804,4817,2459
9465,7610,1785
9194,8097,2067
3959,6271,759
4154,5847,1981
850,5973,11
6492,4614,7235
5391,4360,1743
5292,3949,5927
5070,9387,9928
4614,7599,1480
6598,1832,2739
8162,4357,5539
4804,7399,5861
9734,7639,6701
2265,4588,1950
939,3008,2346
4804,8114,9568
70,1677,5376
8140,2110,1698
5395,4602,2239
8672,5842,9765
4690,9072,2088
7292,3906,8391
1533,1430,9464
4771,1176,9162
1539,8447,2774
798,72,7794
5847,3232,8098
7599,1686,4394
1059,4088,4289
873,9610,3598
7524,3833,1837
1317,4506,3275
1159,9265,9474
1539,6581,9954
2066,5407,1296
6777,6950,4838
4357,8996,8123
2047,9663,7211
6082,188,1702
8598,5619,505
9701,724,5487
3873,7027,2437
8127,2647,4021
4804,4241,6448
6829,8373,1173
7370,4615,3268
939,8233,3159
8925,9511,5311
2237,934,4773
3579,9845,1570
7050,3339,3376
2877,9475,1940
3232,3731,1985
2687,6205,3373
188,4391,1882
8447,1519,313
3649,8517,8476
8140,8545,4489
8545,6525,8408
113,395,4998
1001,4189,5389
5391,7250,8177
8672,5809,4779
1001,1226,2491
2110,398,3193
395,6008,7980
8837,7838,7502
6008,1360,5381
568,3615,114
6455,7029,3984
1159,1688,7283
4506,3158,1278
9734,4283,3264
7250,8666,5560
4615,9079,9986
2261,861,6657
4979,3047,9640
2647,3570,5632
6492,3288,3485
2658,6135,5013
7451,9400,1527
1059,4080,6538
6150,9432,6876
7029,5524,7248
8140,736,969
3873,9991,7850
8666,5017,337
5045,3247,3651
3873,8168,6987
222,33,6179
9387,6625,8413
113,7289,8561
6082,5975,5346
2002,5405,7450
7399,4029,1863
4588,1655,6509
5407,1540,604
1533,5453,1488
4154,8494,8774
2877,1512,1583
7976,5327,569
7050,1718,4057
8373,4116,4053
629,3318,4349
9021,8240,2398
3232,7147,5036
7637,62,8678
1317,3179,1483
1519,6466,8937
4189,8356,7065
356,7513,3863
4804,682,722
4588,3756,1915
3047,5730,8331
6581,6323,3901
5017,7845,8403
4241,7529,3987
1677,564,2560
8097,628,6293
9991,5557,2202
4771,9151,3265
6150,4610,7676
5198,9052,6644
7050,5142,8438
6777,9940,2950
1533,103,7597
6598,6386,3452
1153,2122,7924
3232,329,1499
9060,1401,259
7976,5089,8449
5507,9598,4582
4506,9172,6210
5391,4378,6548
1335,4158,2984
1059,8011,4390
934,220,6243
8925,6453,3092
244,4900,3502
1533,4911,6236
4360,3872,8017
7845,1939,2320
5975,1091,9818
6082,7344,2144
8706,8148,8593
4771,2843,6169
7610,7324,7261
8565,5814,9689
4307,1446,9577
7107,2556,6925
2843,6169,7965
7050,5663,6770
8706,9307,951
9151,1645,328
2737,9597,5895
5857,2731,7897
8672,9474,3135
5973,2071,9456
33,9355,1937
2143,2649,6196
2556,4788,8838
9194,7981,190
1001,4969,5409
2843,6282,6088
2143,9974,3424
1058,2397,6041
3858,972,6543
7324,3622,6579
5619,2822,9553
4614,7558,2278
724,2328,1499
9475,6243,1357
7451,7145,2680
3695,9375,5776
3756,7061,4863
6271,8874,4989
7399,6026,1862
2081,2260,1504
8494,1970,5577
4719,3864,2241
1360,7653,450
7061,4591,2054
8494,7687,2102
9265,540,6693
7147,7020,443
4610,6403,678
9375,6378,9727
9072,685,3721
6149,362,179
62,4665,526
4900,9987,9345
5809,7445,3170
3158,9430,1926
1446,5055,826
6777,9704,4340
939,1848,956
8442,6914,3585
8442,9884,586
3179,2015,233
1430,7411,8323
3872,7748,1851
4665,1284,7632
863,6900,18
6378,4353,6781
1001,8574,8790
4047,4127,5843
9927,9373,8531
9060,9775,5030
7558,5076,319
8097,635,6521
2822,1777,5111
2066,8482,423
7534,824,3130
1519,7560,4225
6271,1453,1358
7513,896,6102
6250,1945,2236
606,8982,6954
6403,8262,6538
3864,2429,9210
9172,1904,6000
7324,6423,9436
6008,4601,3965
1553,9842,2288
4307,7747,5412
1686,5156,1229
9701,9654,952
2822,1783,1539
3179,2419,7526
1360,5486,2211
2261,1093,5505
9987,991,7630
244,3312,1416
5975,1145,1851
9475,4310,9935
1439,6865,7027
9060,9561,1500
991,2048,704
4817,9643,949
7610,4766,9699
5973,8329,5442
6663,9451,1521
7529,1212,8503
6423,5320,9083
6386,5106,1568
1212,8592,8085
5156,3348,7897
4979,981,7263
8240,979,8190
8356,5366,567
4017,9348,7731
2556,8705,6664
9987,4947,1974
6271,9186,2885
5017,7192,9820
3008,9214,7193
