27,29
0,370,17
0,901,26
0,55,47
55,690,59
690,828,54
690,839,20
55,553,12
553,13,35
0,643,12
0,840,22
901,342,50
901,125,23
125,437,33
828,820,58
125,92,34
840,394,51
13,863,50
13,582,24
125,371,59
437,153,17
901,392,16
0,625,7
828,401,43
625,896,51
643,518,1
840,746,21
553,327,5
0,609,9
828,534,35
394,727,32
394,164,14
125,536,5
746,412,25
412,842,19
625,251,60
518,815,56
643,155,20
582,671,11
863,578,33
342,586,1
820,634,49
643,103,17
896,404,45
746,846,9
92,1,1
842,797,13
103,215,38
815,862,52
671,559,41
846,651,6
518,522,2
0,152,39
559,106,60
103,180,62
401,829,42
0,385,21
651,607,37
55,442,55
103,132,1
671,415,46
92,454,64
625,242,21
522,860,61
820,924,59
454,615,64
727,67,19
180,388,59
388,443,19
651,844,39
454,538,52
840,264,27
828,731,23
690,197,63
415,43,7
242,384,59
384,540,8
829,542,58
924,434,57
1,455,57
863,402,6
863,857,2
840,111,41
264,636,40
384,367,46
840,967,53
860,500,38
132,20,54
542,338,12
586,638,4
442,425,40
578,718,3
164,997,57
536,46,43
425,630,39
388,688,54
404,832,19
67,169,18
342,697,11
401,472,56
264,214,48
103,859,28
125,446,20
215,263,6
455,330,7
214,699,22
180,595,64
559,883,2
625,530,40
860,42,51
437,104,43
615,776,28
338,23,30
412,521,32
43,673,34
638,293,42
342,606,53
106,5,57
615,927,59
111,711,53
214,735,18
857,495,37
857,127,37
215,449,27
901,26,13
840,806,41
643,319,5
542,724,60
412,187,22
828,674,1
634,600,44
967,426,8
636,50,52
50,951,48
699,976,39
437,875,3
615,433,24
829,517,50
106,831,8
517,917,24
446,827,7
443,16,9
104,577,15
842,626,54
394,387,56
711,853,28
875,730,18
643,6,43
13,729,36
319,318,10
214,224,16
495,220,7
401,403,10
127,686,38
863,484,46
828,511,35
449,160,15
840,243,12
976,708,50
67,698,48
164,590,34
1,642,20
862,667,47
927,492,27
924,19,17
367,405,58
718,895,2
586,100,63
735,239,53
553,510,21
495,648,14
455,347,53
582,847,12
917,908,40
828,761,52
896,662,19
662,450,61
100,770,41
776,254,58
401,93,7
433,594,30
860,742,18
536,353,8
538,736,56
967,691,22
160,990,60
609,750,28
832,621,16
815,208,61
534,99,46
23,378,51
517,788,60
55,845,1
392,612,30
586,766,56
111,464,35
742,276,61
495,666,24
434,436,39
673,998,5
104,572,10
540,198,7
426,955,62
511,683,19
387,431,60
901,986,28
846,409,60
559,407,56
50,105,16
643,646,57
425,991,46
318,283,33
674,969,56
437,944,31
388,54,3
522,852,7
609,274,48
991,656,42
220,117,37
901,256,47
656,529,53
895,764,24
152,838,43
634,569,6
104,143,55
636,654,47
536,181,63
731,751,28
746,784,2
521,794,43
686,151,27
595,189,24
105,305,29
651,663,17
264,476,26
392,972,60
944,515,21
67,909,64
214,28,55
761,902,41
431,35,7
729,947,60
686,489,58
986,145,20
443,58,49
895,552,2
976,520,56
991,252,63
909,112,38
594,52,29
454,752,17
198,814,31
160,302,52
254,304,45
590,564,39
688,331,17
955,989,30
820,32,14
967,802,52
564,907,40
951,210,51
443,60,10
538,982,31
210,480,13
407,343,34
761,408,48
989,627,43
263,509,27
802,571,30
859,361,63
951,346,64
208,706,46
927,322,29
572,923,53
43,762,56
392,97,3
538,260,10
731,30,26
387,641,31
92,150,30
839,351,4
691,904,10
522,87,5
0,435,13
663,543,35
708,66,41
609,682,14
472,134,7
750,999,24
862,10,2
627,710,22
724,558,37
735,941,44
152,524,12
415,395,26
394,297,20
559,175,50
150,954,5
751,296,41
342,819,42
155,45,51
214,631,10
909,795,32
845,689,12
708,207,15
402,370,52
263,3,37
662,567,51
766,459,2
99,94,55
180,452,16
795,851,52
153,420,55
847,7,16
762,965,45
1,873,18
944,273,44
42,336,50
859,460,19
558,12,55
13,864,34
627,311,60
220,618,19
902,968,48
50,888,43
536,771,41
618,439,60
831,422,15
492,685,14
600,593,35
60,702,19
134,640,42
536,603,25
564,279,44
972,716,35
520,421,10
260,493,48
378,726,45
434,70,14
609,705,19
492,246,60
518,878,51
112,787,36
327,219,29
7,128,26
35,496,6
609,687,43
558,158,56
689,996,3
7,238,30
998,62,53
875,177,25
401,870,13
455,772,21
219,316,10
20,692,8
802,583,10
923,124,16
917,918,31
814,547,54
181,399,63
311,945,45
663,943,14
895,362,2
362,937,62
510,86,1
726,942,14
515,65,39
662,925,10
989,440,38
815,372,56
831,921,57
322,744,8
67,629,6
426,633,32
387,822,22
997,483,32
392,289,9
875,871,6
917,670,40
297,975,44
955,506,60
686,684,60
730,887,43
907,195,34
422,278,40
638,579,41
522,800,43
387,235,33
297,308,63
954,461,6
105,780,12
197,411,52
506,977,54
443,743,27
387,328,44
633,541,2
252,575,35
164,677,19
158,445,22
618,193,42
559,858,51
180,406,34
705,799,39
541,722,28
421,358,37
908,749,14
708,95,43
750,739,9
685,957,10
372,774,33
887,983,2
923,914,14
439,307,33
873,90,50
160,38,5
642,939,24
435,453,32
305,753,14
896,29,37
542,163,59
42,34,63
45,610,17
304,68,26
606,203,50
399,364,31
403,41,24
536,184,31
838,380,1
688,377,24
92,499,27
421,418,26
612,791,21
706,701,11
95,959,44
459,759,50
322,430,64
541,993,11
772,836,1
558,432,51
674,144,46
939,801,28
887,491,57
343,456,30
433,707,59
607,176,49
909,992,52
691,891,7
705,963,6
302,85,34
273,349,12
705,899,39
927,78,40
677,745,38
794,178,42
716,720,10
293,261,47
316,813,1
572,826,46
631,922,50
520,359,4
864,755,52
801,266,47
887,344,42
871,681,5
762,679,28
515,438,57
331,188,49
111,228,46
646,519,4
436,334,14
726,881,63
858,785,14
3,487,62
683,49,57
29,592,28
163,149,64
43,513,13
674,614,5
522,949,48
654,381,47
522,301,57
439,2,22
308,340,42
998,486,56
425,830,24
517,786,8
844,288,41
674,369,50
150,423,8
701,818,45
430,854,15
640,81,19
158,36,15
982,393,18
305,339,48
648,995,51
986,262,19
150,275,61
152,694,62
239,962,62
524,162,58
297,233,37
630,475,2
799,876,12
239,448,26
13,159,59
331,141,17
925,584,54
606,241,15
626,678,33
983,200,29
633,314,2
489,979,43
864,59,64
449,580,44
795,294,9
94,194,28
351,310,7
606,740,52
918,135,58
547,230,51
991,605,20
640,841,52
19,556,60
951,803,28
536,756,30
999,447,51
755,386,14
239,738,54
141,356,9
66,613,4
609,236,49
614,300,24
687,760,17
829,37,48
943,25,5
627,101,22
968,544,38
517,154,57
671,973,14
36,589,58
125,115,49
386,33,10
687,360,39
917,136,60
50,958,3
436,550,39
943,608,1
896,88,3
334,665,37
957,535,57
367,313,23
455,581,27
351,938,35
941,366,45
706,848,23
228,109,45
432,174,46
831,503,41
784,920,19
799,823,41
489,804,55
29,69,16
829,192,60
826,354,54
328,467,50
500,271,33
115,807,46
19,51,15
580,504,50
455,53,15
294,596,27
517,805,60
780,183,11
787,397,7
920,617,38
794,122,2
541,245,36
210,186,10
923,329,55
163,611,29
322,352,6
656,259,56
823,368,54
702,348,55
870,644,5
914,71,52
342,893,5
180,960,19
360,1000,39
955,280,22
385,337,46
853,533,64
852,953,42
239,398,32
55,326,17
858,527,29
533,110,20
697,525,30
506,588,16
547,855,20
178,639,42
914,265,21
801,650,45
806,462,9
13,201,8
392,622,47
615,948,34
876,157,33
517,488,29
770,798,48
686,734,47
990,234,39
517,74,19
110,512,26
41,116,24
818,321,54
943,172,44
751,73,42
29,719,1
962,792,7
197,672,26
245,428,55
346,696,21
922,167,9
503,315,39
151,889,48
203,14,3
106,258,33
97,778,8
938,985,30
359,892,18
452,490,31
807,102,31
744,872,42
235,919,16
852,526,14
577,57,9
367,231,10
962,173,60
692,250,38
180,733,31
512,754,48
830,721,22
69,333,57
90,695,59
276,713,52
348,27,46
883,44,27
646,880,22
993,900,22
155,21,20
762,946,43
515,598,52
883,17,16
644,956,36
656,204,36
603,391,58
399,516,17
224,72,35
785,790,49
439,916,29
328,457,5
504,206,57
302,253,63
192,882,60
384,494,59
300,680,18
443,317,54
690,419,57
521,257,6
696,133,52
742,270,38
633,599,61
614,655,11
519,373,54
519,478,49
10,332,25
954,910,5
889,227,60
690,84,17
540,602,51
543,549,54
776,532,62
366,700,6
968,131,16
105,341,59
839,723,3
59,287,48
381,528,28
902,725,43
206,933,42
744,531,34
679,350,63
314,216,42
667,335,40
307,414,64
71,89,37
919,775,4
342,277,7
822,248,14
5,469,26
366,628,18
446,929,4
259,934,18
516,113,62
922,502,42
1,286,58
920,79,36
590,24,7
582,903,26
261,292,36
541,470,9
626,837,8
878,865,29
896,4,36
751,961,43
788,619,55
662,737,10
204,485,34
204,773,14
418,82,49
736,463,33
35,410,38
720,375,31
110,272,32
486,620,3
795,482,7
203,168,28
572,728,34
359,849,13
666,211,52
512,668,62
26,824,21
37,147,4
701,693,52
460,190,12
662,816,5
829,551,6
297,783,59
756,874,64
386,659,31
679,867,44
716,139,44
154,974,57
642,833,30
101,565,24
241,915,61
440,376,46
610,64,11
348,928,16
668,76,62
236,379,13
319,765,57
116,229,23
23,83,43
115,877,38
453,649,29
203,545,36
347,652,35
283,255,18
643,123,16
327,357,16
373,817,43
215,15,34
937,793,20
515,894,29
571,306,12
210,664,23
876,61,14
87,413,37
420,170,35
790,964,9
341,501,39
948,809,20
177,268,4
379,657,15
251,56,35
340,249,44
76,312,18
873,137,64
61,444,46
792,451,43
742,98,27
599,913,34
239,382,28
730,48,28
824,741,44
533,709,31
450,898,48
322,138,22
123,185,36
946,142,53
794,240,16
262,808,63
956,704,40
919,782,29
739,477,13
494,223,45
106,31,57
194,458,6
463,237,4
255,161,57
254,850,20
265,562,63
837,624,23
598,191,8
214,897,57
571,763,39
581,18,40
142,389,22
86,703,20
839,212,35
627,935,45
681,980,35
208,298,39
459,471,51
873,323,12
301,396,28
150,217,16
703,247,57
3,91,59
452,769,51
656,758,20
543,324,32
610,712,27
532,570,7
765,930,62
918,171,62
224,355,55
190,568,34
527,971,7
83,757,37
668,932,56
136,400,9
723,560,64
921,905,57
700,676,36
749,416,24
532,374,9
560,987,35
502,291,24
942,637,49
795,523,6
259,383,6
288,573,43
13,796,41
50,417,13
701,879,39
97,906,8
618,555,45
333,129,40
360,290,4
78,390,41
643,548,15
513,40,41
631,563,55
349,868,7
454,779,63
552,926,21
943,222,46
289,931,7
819,166,28
711,8,3
369,481,35
329,468,34
925,966,7
302,269,21
151,984,39
592,213,21
52,576,51
527,427,64
383,179,39
298,514,15
973,940,50
822,232,63
178,748,34
979,466,32
996,557,28
300,146,12
804,107,7
511,226,33
757,363,31
765,473,11
135,970,20
980,601,59
996,282,54
594,952,62
557,284,9
966,715,35
238,632,37
947,821,17
384,199,59
892,661,27
417,869,14
17,121,15
170,994,30
793,108,26
105,165,17
854,148,58
573,424,63
116,843,51
353,647,12
832,225,55
651,658,63
880,140,42
308,660,14
207,507,64
486,429,49
407,539,8
879,981,3
878,299,26
914,75,36
818,886,10
133,812,29
634,205,7
402,156,34
68,587,46
458,890,18
812,546,8
827,63,40
313,732,14
276,911,3
778,365,29
215,777,41
764,182,48
576,623,5
347,126,35
743,747,40
423,196,39
608,119,7
830,77,25
157,120,30
550,714,5
617,978,21
99,281,7
28,218,53
951,47,53
766,508,42
315,597,51
676,811,31
831,309,54
283,537,8
287,96,35
335,130,49
372,118,50
851,885,2
486,11,24
519,465,18
799,325,13
642,244,31
916,834,34
277,810,59
8,675,10
1,781,57
129,22,21
997,114,48
350,912,48
881,221,12
621,441,10
889,202,36
993,474,16
874,9,21
122,574,17
946,768,62
13,635,8
188,884,52
812,303,3
893,645,43
549,566,31
467,561,22
425,866,32
747,861,21
335,209,64
15,988,46
842,285,33
23,39,3
352,653,30
41,554,57
402,267,62
35,295,13
654,936,63
770,479,33
86,717,55
922,591,51
112,505,31
221,789,34
431,856,22
330,320,38
797,825,45
449,616,30
752,950,30
8,345,49
566,497,60
671,669,32
748,604,41
953,498,13
547,835,43
802,585,22
803,767,57
70,80,13
